,plot,native,distance,lat,long,rich
246,1091,native,0.218518238,41.379929,-81.504577,12
16,1090,adventive,0.244959759,41.403929,-81.890888,7
17,1090,native,0.244959759,41.403929,-81.890888,25
174,1089,adventive,0.216548213,41.31172,-81.60778,1
175,1089,native,0.216548213,41.31172,-81.60778,29
95,1087,adventive,0.240104825,41.299579,-81.774021,1
96,1087,native,0.240104825,41.299579,-81.774021,14
64,1086,adventive,0.158594902,41.469705,-81.825147,10
65,1086,native,0.158594902,41.469705,-81.825147,34
73,1083,adventive,0.255016968,41.299497,-81.805737,3
74,1083,native,0.255016968,41.299497,-81.805737,16
126,1082,adventive,0.310421067,41.20865,-81.701213,9
127,1082,native,0.310421067,41.20865,-81.701213,58
,1081,adventive,0.250121912,41.573986,-81.430298,0
274,1081,native,0.250121912,41.573986,-81.430298,15
308,1080,adventive,0.274652143,41.44185,-81.410127,13
309,1080,native,0.274652143,41.44185,-81.410127,32
99,1077,adventive,0.228092145,41.305055,-81.756092,6
100,1077,native,0.228092145,41.305055,-81.756092,21
247,1075,adventive,0.233883433,41.38273,-81.483164,9
248,1075,native,0.233883433,41.38273,-81.483164,42
24,1074,adventive,0.237270227,41.398419,-81.879049,2
25,1074,native,0.237270227,41.398419,-81.879049,17
122,1073,adventive,0.292085646,41.227164,-81.702299,15
123,1073,native,0.292085646,41.227164,-81.702299,37
154,1072,adventive,0.127240357,41.391773,-81.690991,7
155,1072,native,0.127240357,41.391773,-81.690991,22
82,1071,adventive,0.237899349,41.312445,-81.794015,4
83,1071,native,0.237899349,41.312445,-81.794015,30
,1070,adventive,0.313422981,41.410397,-81.968463,0
3,1070,native,0.313422981,41.410397,-81.968463,21
152,1069,adventive,0.264870458,41.2536,-81.691722,7
153,1069,native,0.264870458,41.2536,-81.691722,46
235,1068,adventive,0.186755496,41.386987,-81.540837,7
236,1068,native,0.186755496,41.386987,-81.540837,60
36,1067,adventive,0.244921991,41.344676,-81.847214,2
37,1067,native,0.244921991,41.344676,-81.847214,18
107,1066,adventive,0.310084111,41.21202,-81.725054,1
108,1066,native,0.310084111,41.21202,-81.725054,39
294,1065,adventive,0.259853798,41.570361,-81.419547,8
295,1065,native,0.259853798,41.570361,-81.419547,34
,1064,adventive,0.267549714,41.414376,-81.427328,0
278,1064,native,0.267549714,41.414376,-81.427328,24
186,1061,adventive,0.226765165,41.30463,-81.59693,3
187,1061,native,0.226765165,41.30463,-81.59693,32
284,1060,adventive,0.266059418,41.423479,-81.425297,2
285,1060,native,0.266059418,41.423479,-81.425297,38
34,1058,adventive,0.203531371,41.424994,-81.855146,3
35,1058,native,0.203531371,41.424994,-81.855146,24
176,1057,adventive,0.210857532,41.317814,-81.607454,3
177,1057,native,0.210857532,41.317814,-81.607454,18
251,1055,adventive,0.227668313,41.410823,-81.473119,10
252,1055,native,0.227668313,41.410823,-81.473119,25
32,1054,adventive,0.209269854,41.419301,-81.858643,6
33,1054,native,0.209269854,41.419301,-81.858643,26
118,1053,adventive,0.303556196,41.215855,-81.704497,5
119,1053,native,0.303556196,41.215855,-81.704497,55
168,1052,adventive,0.103853272,41.418326,-81.644474,6
169,1052,native,0.103853272,41.418326,-81.644474,14
,1051,adventive,0.249010338,41.30568,-81.804343,0
75,1051,native,0.249010338,41.30568,-81.804343,9
,1050,adventive,0.28811751,41.419779,-81.944948,0
